timestamp,pos_cov_x,pos_cov_y,pos_cov_z,ori_cov_r,ori_cov_p,ori_cov_y
1763444638.975,4.24822,4.7527,5.62207,0.0104,0.022,0.03276
1763444639.075,4.24822,4.75272,5.62207,0.01041,0.02202,0.03275
1763444639.175,4.24822,4.75273,5.62207,0.01041,0.02202,0.03275
1763444639.275,4.24826,4.75278,5.6221,0.01041,0.02203,0.03278
1763444639.375,4.24829,4.75282,5.62211,0.01041,0.02203,0.03278
1763444639.475,4.24834,4.75287,5.62213,0.01041,0.02203,0.03278
1763444639.575,4.24843,4.75298,5.62219,0.01042,0.02204,0.0328
1763444639.675,4.24852,4.75308,5.62224,0.01042,0.02204,0.0328
1763444639.775,4.24864,4.75322,5.6223,0.01042,0.02204,0.0328
1763444639.875,4.24875,4.7533,5.62233,0.01042,0.02202,0.03278
1763444639.975,4.24883,4.75335,5.62235,0.01042,0.02202,0.03278
1763444640.075,4.24892,4.75336,5.62233,0.01041,0.02201,0.03279
1763444640.175,4.24899,4.75337,5.62231,0.01041,0.02201,0.03279
1763444640.275,4.24907,4.7534,5.6223,0.01041,0.02201,0.03279
1763444640.375,4.24917,4.75346,5.6223,0.01041,0.02201,0.0328
1763444640.475,4.24924,4.75351,5.62231,0.01041,0.02201,0.0328
1763444640.575,4.24935,4.75357,5.62231,0.01041,0.02201,0.0328
1763444640.675,4.24947,4.75365,5.62232,0.01041,0.02201,0.03281
1763444640.775,4.24959,4.75372,5.62233,0.01041,0.02201,0.03281
1763444640.875,4.24968,4.75377,5.62233,0.01041,0.02201,0.03281
1763444640.975,4.24985,4.75387,5.62234,0.01042,0.02202,0.03281
1763444641.075,4.25001,4.75396,5.62235,0.01042,0.02202,0.03281
1763444641.175,4.25021,4.75403,5.62236,0.01043,0.02202,0.03281
1763444641.275,4.25035,4.75407,5.62237,0.01043,0.02202,0.03281
1763444641.375,4.25051,4.7541,5.62236,0.01043,0.02202,0.03281
1763444641.475,4.2508,4.75417,5.62237,0.01044,0.02205,0.03284
1763444641.575,4.25109,4.75426,5.62238,0.01044,0.02205,0.03284
1763444641.675,4.25149,4.75437,5.62238,0.01044,0.02205,0.03284
1763444641.775,4.25216,4.75467,5.62245,0.01045,0.02207,0.03289
1763444641.875,4.25283,4.755,5.62252,0.01045,0.02207,0.03289
1763444641.975,4.25409,4.75572,5.6227,0.01047,0.02209,0.03293
1763444642.075,4.25488,4.75619,5.62282,0.01047,0.02209,0.03293
1763444642.175,4.25504,4.75626,5.62284,0.01045,0.02205,0.03282
1763444642.275,4.25497,4.75619,5.62285,0.01045,0.02205,0.03282
1763444642.375,4.25466,4.75594,5.62282,0.01045,0.02205,0.03282
1763444642.475,4.2543,4.75571,5.62277,0.01044,0.02205,0.03282
1763444642.575,4.25389,4.75545,5.62272,0.01044,0.02205,0.03282
1763444642.675,4.25334,4.75511,5.62265,0.01044,0.02205,0.03282
1763444642.775,4.25318,4.75503,5.62264,0.01045,0.02207,0.03281
1763444642.875,4.25311,4.75501,5.62263,0.01045,0.02207,0.03281
1763444642.975,4.25313,4.75502,5.62263,0.01045,0.02207,0.03281
1763444643.075,4.25323,4.75504,5.62265,0.01045,0.02207,0.03281
1763444643.175,4.25343,4.75509,5.62267,0.01045,0.02207,0.03281
1763444643.275,4.25353,4.75511,5.62269,0.01045,0.02207,0.03281
1763444643.375,4.2536,4.75513,5.62269,0.01045,0.02207,0.03281
1763444643.475,4.25372,4.75518,5.62271,0.01045,0.02206,0.03283
1763444643.575,4.25391,4.75526,5.62273,0.01045,0.02206,0.03283
1763444643.675,4.2542,4.75537,5.62276,0.01046,0.02208,0.03284
1763444643.775,4.25451,4.75547,5.62278,0.01046,0.02208,0.03284
1763444643.875,4.25464,4.75551,5.62279,0.01045,0.02208,0.03278
1763444643.975,4.25465,4.75551,5.62278,0.01045,0.02208,0.03278
1763444644.075,4.25433,4.75537,5.62275,0.01046,0.02208,0.03279
1763444644.175,4.2541,4.75528,5.62274,0.01048,0.0221,0.03281
1763444644.275,4.2541,4.7553,5.62277,0.01048,0.02208,0.03282
1763444644.375,4.2541,4.75531,5.62278,0.01048,0.02208,0.03282
1763444644.475,4.2541,4.75531,5.62278,0.01048,0.02208,0.03282
1763444644.575,4.2541,4.75532,5.62277,0.01047,0.02208,0.03279
1763444644.675,4.2541,4.75533,5.62277,0.01047,0.02208,0.03279
1763444644.775,4.25409,4.75533,5.62278,0.01047,0.02208,0.03279
1763444644.875,4.25409,4.75533,5.62278,0.01047,0.02208,0.03279
1763444644.975,4.25408,4.75532,5.62278,0.01047,0.02208,0.03279
1763444645.075,4.25408,4.75532,5.62279,0.01047,0.0221,0.03276
1763444645.175,4.25407,4.75532,5.62279,0.01047,0.0221,0.03276
1763444645.275,4.25407,4.75533,5.6228,0.01046,0.02209,0.03276
1763444645.375,4.25407,4.75534,5.6228,0.01046,0.02209,0.03276
1763444645.475,4.25407,4.75535,5.6228,0.01045,0.02208,0.03275
1763444645.575,4.25407,4.75535,5.6228,0.01045,0.02208,0.03275
1763444645.675,4.25407,4.75536,5.62281,0.01045,0.02208,0.03275
1763444645.775,4.25407,4.75536,5.62281,0.01045,0.02208,0.03275
1763444645.875,4.25408,4.75537,5.62282,0.01044,0.02207,0.03274
1763444645.975,4.25409,4.75538,5.62283,0.01044,0.02207,0.03274
1763444646.075,4.25411,4.75539,5.62284,0.01044,0.02206,0.03274
